tracking_id	enos_nn_db_pp_nt_0	enos_nn_db_pp_nt_1	enos_nn_db_pp_nt_2	enos_nn_db_pp_nt_3	enos_nn_db_pp_nt_4	enos_nn_db_pp_nt_5	enos_nn_db_pp_nt_6	enos_nn_db_pp_nt_7	enos_nn_db_pp_nt_8	enos_nn_db_pp_t_0	enos_nn_db_pp_t_1	enos_nn_db_pp_t_2	enos_nn_db_pp_t_3	enos_nn_db_pp_t_4	enos_nn_db_pp_t_5	enos_nn_db_pp_t_6
0610005C13Rik	0.7014	25.1947	8.1764	2.5644	19.6207	9.261	2.6047	2.3373	1.2838	4.181	6.5626	4.9664	5.7132	2.6583	10.1055	0.4266
0610007C21Rik	91.1485	101.938	81.5291	81.4707	91.623	92.8966	82.9163	81.1696	87.3595	79.5347	86.7921	85.6094	89.0051	73.0017	86.5764	77.85
0610007L01Rik	38.4932	37.9812	30.4959	37.7135	30.0928	33.4605	38.0849	31.9285	40.6698	35.0408	28.8561	33.1757	34.9312	37.7129	30.1937	38.1996
0610007P08Rik	6.2478	6.1036	5.9888	5.6895	6.052	6.5388	5.7287	5.8001	5.5472	5.0735	6.0204	6.5394	6.0025	7.3888	6.2706	5.5898
0610007P14Rik	10.6761	18.5526	16.5737	15.3951	16.9843	16.001	16.651	15.9651	15.8728	13.0942	16.9958	15.3569	18.097	18.933	18.3524	17.7744
0610007P22Rik	15.5353	15.2381	14.3859	15.6914	15.0743	13.4826	15.3292	14.1978	14.9597	15.5658	17.0166	14.0925	13.8027	10.5819	16.0426	15.146
0610008F07Rik	0.0891	1.5638	0.4118	0.4148	1.7797	0.8008	0.1853	0.1723	0.0529	0.3843	0.3016	0.2275	0.2351	0.0854	0.2997	0
0610009B14Rik	0	0.6923	0.9726	0.4286	0.9145	0.2537	0.438	0.1018	0.0937	0.5453	1.0684	0.2018	0.8856	0	0.7963	0.3176
0610009B22Rik	16.0743	18.4776	19.8298	17.9697	22.4537	20.6801	19.1673	17.3881	19.4151	16.2469	19.5944	17.7635	20.0011	15.908	21.2386	16.6763
0610009D07Rik	38.3379	33.5177	31.5609	41.1273	35.1204	38.9182	38.9515	38.0788	39.018	40.724	31.9121	32.1026	36.7258	31.7481	32.4737	42.6257
0610009L18Rik	6.4119	8.3686	5.4175	7.1631	8.3413	6.2417	10.6247	4.6166	6.6778	5.0164	8.0543	6.872	6.351	4.7653	7.9977	5.8784
0610009O20Rik	30.4555	36.1876	30.3941	26.8785	29.5791	27.699	29.2367	26.0247	27.1246	22.5045	25.8154	25.8116	26.9711	27.899	30.4629	29.7264
0610010B08Rik	0.0427	0.0495	0.1089	0.0439	0.0543	0.0735	0.0197	0.0183	0.0337	0.0369	0.0838	0.0911	0.0656	0	0.0833	0.0475
0610010F05Rik	6.3939	6.0047	6.4418	7.2113	6.4757	6.9713	6.803	6.7618	7.051	6.5136	6.4883	7.4822	6.8778	8.4843	5.4975	5.8661
0610010K06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610010K14Rik	44.4582	38.1791	36.5063	45.2005	35.052	39.9884	35.1784	41.8405	39.5055	37.351	40.7539	39.2386	39.3074	36.0525	41.3118	48.8906
0610010O12Rik	46.9627	83.3838	74.4963	54.7553	110.029	59.4596	92.1618	46.8111	74.3031	46.4725	73.0183	43.1003	80.1028	26.8593	96.1015	97.1762
0610011F06Rik	14.6637	41.7192	32.8057	19.6386	59.2884	30.7944	22.1399	18.6562	19.6146	19.7253	31.3714	23.0617	27.1599	11.614	39.4153	18.5929
0610011L14Rik	13.0041	12.7456	11.4472	12.5153	12.0123	11.0505	11.9191	13.275	11.1845	12.0136	11.2927	12.0901	12.1703	11.817	11.6316	12.4091
0610012G03Rik	17.5653	21.4032	20.901	19.5607	25.1354	16.6641	21.6383	19.15	18.9997	19.8385	23.7602	17.2043	23.7868	18.9574	23.8191	16.9357
0610012H03Rik	0.3439	7.9818	3.7394	0.4646	6.2562	2.5257	0.9816	0.6903	0.947	1.3028	2.582	2.0595	1.7684	2.6514	3.9541	1.0918
0610025J13Rik	0	0.5588	0.1227	0.1236	0.1538	0.0512	0.4419	0.154	0.1891	0.3438	0.1347	0	0.6833	1.3815	0.2009	0.1602
0610030E20Rik	9.0487	7.8845	8.1799	7.3693	7.2748	7.3357	8.4036	7.8653	8.3222	8.3135	9.1081	9.5801	8.2379	7.928	8.267	8.3439
0610031J06Rik	67.2563	62.8024	74.7879	73.0747	70.5547	69.6951	67.0595	68.1295	70.7269	63.1769	69.9017	66.4867	69.581	65.9588	68.2571	65.404
0610037L13Rik	18.2576	17.2388	15.3872	20.9839	20.2367	21.3535	20.6557	18.4607	19.1021	20.6714	15.1878	21.6494	18.5754	19.4259	19.5629	26.8693
0610037P05Rik	23.1258	22.7808	21.7788	24.1254	22.0713	21.482	27.8465	20.6695	27.1042	24.0562	20.43	21.046	24.7293	29.689	22.0305	26.5078
0610038B21Rik	0.1813	0.2767	0.2084	0.4198	0.6372	0.35	0.0941	0.1456	0.3217	0.0783	0.687	0.2895	0.1791	0.2216	0.6831	0.212
0610039K10Rik	1.4683	0.4061	1.4262	1.3767	0.9436	0.6947	1.5525	1.0943	1.0076	0.7998	1.0445	1.0851	0.9678	0.9681	1.1678	1.242
0610040B10Rik	1.8795	2.9764	1.9537	2.1326	2.885	3.457	1.3079	1.898	1.4971	1.9731	1.4293	2.3921	1.7958	0.949	1.2408	1.832
0610040J01Rik	4.2029	15.7501	13.2053	5.5324	21.5676	8.328	10.5516	7.3734	12.1666	6.4454	9.3596	5.7867	14.9086	6.9739	13.3685	7.697
0910001L09Rik	39.7124	46.4413	46.3343	51.286	55.4329	47.5912	55.9186	42.7704	42.1529	40.9138	45.29	44.2811	48.7724	28.4143	50.8632	47.9685
100040852	0.4445	0.1394	0.2735	0.152	0.3216	0.3185	0.1536	0.4353	0.277	0.3094	0.228	0.1973	0.1787	0.5027	0.1959	0.2142
100041085	1.1328	3.4311	3.5211	1.7291	3.8836	1.4173	1.5694	1.2905	1.1548	1.1317	2.4843	1.606	4.1331	1.5297	3.8384	0.8278
100041515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100042802	0	0	0	0	0.0589	0	0.0319	0.0296	0	0	0.0388	0.0589	0.0607	0	0	0
100043387	0	0	0	0	0	0	0	0	0	0	0	0	0.0279	0	0	0
100043580	1.7499	0.6732	0.7595	0.935	1.2723	1.1213	1.972	0.776	1.2989	1.225	1.3901	1.7439	2.3809	0.6232	1.5651	1.0272
1010001N08Rik	0	0	0	0.0264	0.0219	0	0	0	0.0405	0	0	0	0	0.0337	0.1147	0
1100001E04Rik	0.1946	0.0564	0.3306	0.0333	0.4816	0.1672	0.299	0.1387	0.562	0.3363	0.4179	0.1935	0.2134	0.2352	1.0119	0.5773
1100001G20Rik	5.8865	0.1873	0.3279	1.982	0.5534	1.0707	0.1463	5.7327	2.1354	18.4175	1.4391	0.8027	3.7549	1.7186	2.3201	28.6593
1110001A16Rik	9.2052	11.2634	9.9666	10.4098	13.0433	10.2514	14.7528	9.5488	12.4495	9.7965	9.7204	8.6774	11.7314	17.202	11.3714	12.8974
1110002B05Rik	94.3512	72.3315	85.1689	81.2303	77.2719	92.6962	76.8286	84.0773	76.998	72.5918	73.8912	84.0178	68.9276	82.0158	66.2447	57.6023
1110002L01Rik	3.0549	4.3456	3.1691	2.9015	4.2024	3.2731	3.9634	3.4347	3.3742	3.3421	4.7664	4.0568	3.9554	4.2991	4.2927	3.4951
1110002N22Rik	3.9345	5.2488	4.5694	5.7847	7.1353	5.1657	5.4467	4.882	5.4658	5.0463	4.8365	4.2922	6.1911	3.7777	5.8611	5.8105
1110003E01Rik	54.46	51.6576	45.0382	56.3966	44.0754	48.57	56.1996	43.8098	53.3236	44.6958	52.0728	49.8955	42.4942	49.4892	47.2485	50.8011
1110004E09Rik	11.5183	14.7782	13.0755	11.7014	14.8407	11.3028	12.6407	10.8732	13.4946	12.1593	11.679	12.0486	15.2576	11.1808	14.8965	18.8548
1110004F10Rik	57.8537	61.0347	49.5856	58.702	54.3048	56.5116	63.6212	54.4964	59.4253	59.8577	45.9355	53.3737	54.0909	52.672	48.0417	61.1608
1110005A03Rik	13.1765	11.5279	13.7669	13.2731	16.107	13.4366	12.4568	12.7382	14.0006	13.2912	13.2414	11.4377	14.3336	15.1675	13.2192	15.2125
1110006O24Rik	2.1954	4.0317	2.1537	1.8595	1.8671	1.7276	3.0441	1.0936	3.9088	2.5802	2.281	2.2281	2.6984	0.9518	3.945	2.3419
1110007A13Rik	13.3581	12.9168	13.9845	15.3287	13.0789	12.9532	12.1146	13.0306	12.359	12.7658	14.0781	13.7461	12.7596	13.832	14.3522	13.9764
1110007C09Rik	44.0772	30.4841	33.4457	41.5995	33.9466	32.0856	31.4676	46.4052	44.3486	43.3634	36.7363	29.2658	32.6126	25.8988	35.311	38.5921
1110007L15Rik	36.0163	36.0145	26.9278	33.1378	31.3771	31.4697	39.9138	32.3281	38.7037	34.3108	28.3834	28.6029	33.9379	30.8433	33.6597	41.3498
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	19.7452	16.0089	18.4471	23.0529	21.1457	18.8299	18.6767	19.6069	19.7246	21.3069	26.9448	21.0814	24.0274	16.3717	23.1446	20.0765
1110008J03Rik	4.0956	5.9397	6.8913	4.7418	7.6797	5.4142	5.7602	4.8038	6.0035	3.5743	7.8351	5.3172	5.7164	3.5275	6.7461	4.3737
1110008L16Rik	1.8529	4.3023	2.994	3.518	4.1669	3.3111	2.8388	2.7279	2.8605	2.6378	2.5123	2.5029	3.2702	1.7077	2.4281	2.7686
1110008P14Rik	25.6966	34.4806	36.9865	26.2225	38.8574	29.1818	48.0178	24.6462	44.6578	25.4722	38.3538	26.7411	41.0331	21.0668	40.3426	56.9627
1110012D08Rik	11.1944	8.45	8.6083	10.5843	8.3334	9.6392	8.0576	10.5178	11.3568	9.7433	9.1005	9.1052	7.594	7.7962	8.9779	8.2567
1110012J17Rik	6.3386	11.6199	6.9755	6.5554	6.8691	6.0925	12.2177	4.7825	8.4436	8.669	5.498	5.8911	6.5578	6.9129	7.5451	11.071
