Age	COVID	All	Pneumonia	COVIDpneumonia	Influenza	Population
Under1	31	15858	152	6	16	3783052
years1t4	18	2932	95	2	42	15793631
years5t14	50	4748	129	9	53	40994163
years15t24	468	30531	615	166	55	42687510
years25t34	2041	62576	2240	913	155	45940321
years35t44	5298	88558	5051	2372	253	41659144
years45t54	14124	161268	13257	6787	596	40874902
years55t64	34966	370815	35754	17478	1270	42448537
years65t74	62280	566670	62558	31228	1516	31483433
years75t84	79724	691540	77471	38112	1535	15969872
years85over	92757	855942	81164	37070	1435	6604958
